"species.code";"analysis";"rate";"value";"replicate"
"LEMA";"both_increase";"seed.survival";0,473045406441778;1
"LYTR";"both_increase";"germination.rate";0,804826455664362;1
"LYTR";"both_increase";"seed.survival";0,653045406441778;1
"MEEL";"both_increase";"germination.rate";0,774826455664362;1
"MEEL";"both_increase";"seed.survival";0,743045406441778;1
"MESU";"both_increase";"germination.rate";0,954826455664362;1
"MESU";"both_increase";"seed.survival";0,773045406441778;1
"PAIN";"both_increase";"germination.rate";0,514826455664362;1
"PAIN";"both_increase";"seed.survival";0,743045406441778;1
"PLCO";"both_increase";"germination.rate";1;1
"PLCO";"both_increase";"seed.survival";0,713045406441778;1
"POMA";"both_increase";"germination.rate";1;1
"POMA";"both_increase";"seed.survival";0,603045406441778;1
"POMO";"both_increase";"germination.rate";1;1
"POMO";"both_increase";"seed.survival";0,633045406441778;1
"PUPA";"both_increase";"germination.rate";1;1
"PUPA";"both_increase";"seed.survival";0,693045406441778;1
"SASO";"both_increase";"germination.rate";0,704826455664362;1
"SASO";"both_increase";"seed.survival";0,443045406441778;1
"SCLA";"both_increase";"germination.rate";0,874826455664362;1
"SCLA";"both_increase";"seed.survival";0,553045406441778;1
"SOAS";"both_increase";"germination.rate";0,784826455664362;1
"SOAS";"both_increase";"seed.survival";0,433045406441778;1
"SPRU";"both_increase";"germination.rate";0,624826455664362;1
"SPRU";"both_increase";"seed.survival";0,553045406441778;1
"SUSP";"both_increase";"germination.rate";0,794826455664362;1
"SUSP";"both_increase";"seed.survival";0,723045406441778;1
"BEMA";"both_random";"germination.rate";0,384969580490044;NA
"BEMA";"both_random";"germination.rate";0,466003966356168;NA
"BEMA";"both_random";"germination.rate";0,326625816208075;NA
"BEMA";"both_random";"germination.rate";0,212913889893167;NA
"BEMA";"both_random";"germination.rate";0,546944711068195;NA
"BEMA";"both_random";"germination.rate";0,448174159895675;NA
"BEMA";"both_random";"germination.rate";0,338126253477438;NA
"BEMA";"both_random";"germination.rate";0,32373010521113;NA
"BEMA";"both_random";"germination.rate";0,382813727811897;NA
"BEMA";"both_random";"germination.rate";0,23621035380222;NA
"BEMA";"both_random";"germination.rate";0,273233743144606;NA
"BEMA";"both_random";"germination.rate";0,518396997956768;NA
"BEMA";"both_random";"germination.rate";0,471753766148104;NA
"BEMA";"both_random";"germination.rate";0,400673224555547;NA
"BEMA";"both_random";"germination.rate";0,224582536526256;NA
"BEMA";"both_random";"germination.rate";0,198111140639906;NA
"BEMA";"both_random";"germination.rate";0,530645500934845;NA
"BEMA";"both_random";"germination.rate";0,525613162369836;NA
"BEMA";"both_random";"germination.rate";0,45430564088677;NA
"BEMA";"both_random";"germination.rate";0,395730012869316;NA
"BEMA";"both_random";"germination.rate";0,386360257864585;NA
"BEMA";"both_random";"germination.rate";0,411777941023815;NA
"BEMA";"both_random";"germination.rate";0,542598674979901;NA
"BEMA";"both_random";"germination.rate";0,279966974427656;NA
"BEMA";"both_random";"germination.rate";0,469151382521069;NA
"BEMA";"both_random";"germination.rate";0,4083617712033;NA
"BEMA";"both_random";"germination.rate";0,2858448607463;NA
"BEMA";"both_random";"germination.rate";0,450297358762;NA
"BEMA";"both_random";"germination.rate";0,356223541616368;NA
"BEMA";"both_random";"germination.rate";0,498015333739301;NA
"BEMA";"both_random";"germination.rate";0,264357179108708;NA
"BEMA";"both_random";"germination.rate";0,288686948855339;NA
"BEMA";"both_random";"germination.rate";0,507635877819893;NA
"BEMA";"both_random";"germination.rate";0,295018586674009;NA
"BEMA";"both_random";"germination.rate";0,398587460410456;NA
"BEMA";"both_random";"germination.rate";0,422341511374233;NA
"BEMA";"both_random";"germination.rate";0,530240419968795;NA
"BEMA";"both_random";"germination.rate";0,293933528776584;NA
"BEMA";"both_random";"germination.rate";0,397149968096224;NA
"BEMA";"both_random";"germination.rate";0,380085426964924;NA
"BEMA";"both_random";"germination.rate";0,221064527370846;NA
"BEMA";"both_random";"germination.rate";0,519861199812186;NA
"BEMA";"both_random";"germination.rate";0,275631150821117;NA
"BEMA";"both_random";"germination.rate";0,312372011216253;NA
"BEMA";"both_random";"germination.rate";0,317034198742362;NA
"BEMA";"both_random";"germination.rate";0,241619262505785;NA
"BEMA";"both_random";"germination.rate";0,377837333521114;NA
"BEMA";"both_random";"germination.rate";0,411578929139226;NA
"BEMA";"both_random";"germination.rate";0,291135358866195;NA
"BEMA";"both_random";"germination.rate";0,488793649822379;NA
"BEMA";"both_random";"germination.rate";0,405169484857914;NA
"BEMA";"both_random";"germination.rate";0,260770539989647;NA
"BEMA";"both_random";"germination.rate";0,256611226604997;NA
"BEMA";"both_random";"germination.rate";0,453941919877972;NA
"BEMA";"both_random";"germination.rate";0,2290268071391;NA
"BEMA";"both_random";"germination.rate";0,297084649847199;NA
"BEMA";"both_random";"germination.rate";0,346439541540175;NA
"BEMA";"both_random";"germination.rate";0,324157952150179;NA
"BEMA";"both_random";"germination.rate";0,516642171306399;NA
"BEMA";"both_random";"germination.rate";0,45043308334856;NA
"BEMA";"both_random";"germination.rate";0,333548466831139;NA
"BEMA";"both_random";"germination.rate";0,225066539204984;NA
"BEMA";"both_random";"germination.rate";0,503915758298918;NA
"BEMA";"both_random";"germination.rate";0,325348683215866;NA
"BEMA";"both_random";"germination.rate";0,493376926394126;NA
"BEMA";"both_random";"germination.rate";0,536109066357419;NA
"BEMA";"both_random";"germination.rate";0,347365172043912;NA
"BEMA";"both_random";"germination.rate";0,421579898450174;NA
"BEMA";"both_random";"germination.rate";0,390864526915328;NA
"BEMA";"both_random";"germination.rate";0,205197736460701;NA
"BEMA";"both_random";"germination.rate";0,32117905656556;NA
"BEMA";"both_random";"germination.rate";0,354950952248161;NA
"BEMA";"both_random";"germination.rate";0,382784115591079;NA
"BEMA";"both_random";"germination.rate";0,30243581970342;NA
"BEMA";"both_random";"germination.rate";0,536291522227006;NA
"BEMA";"both_random";"germination.rate";0,341361428407632;NA
"BEMA";"both_random";"germination.rate";0,444819153595611;NA
"BEMA";"both_random";"germination.rate";0,500749009268645;NA
"BEMA";"both_random";"germination.rate";0,536546082135538;NA
"BEMA";"both_random";"germination.rate";0,562451596642874;NA
"BEMA";"both_random";"germination.rate";0,391573421854927;NA
"BEMA";"both_random";"germination.rate";0,417170726971268;NA
"BEMA";"both_random";"germination.rate";0,232007259236829;NA
"BEMA";"both_random";"germination.rate";0,39878407646118;NA
"BEMA";"both_random";"germination.rate";0,398907376828418;NA
"BEMA";"both_random";"germination.rate";0,536976765224795;NA
"BEMA";"both_random";"germination.rate";0,348580828405651;NA
"BEMA";"both_random";"germination.rate";0,302373470100183;NA
"BEMA";"both_random";"germination.rate";0,300591717967716;NA
"BEMA";"both_random";"germination.rate";0,255700690448462;NA
"BEMA";"both_random";"germination.rate";0,469611717335679;NA
"BEMA";"both_random";"germination.rate";0,516327186156069;NA
"BEMA";"both_random";"germination.rate";0,509077307505522;NA
"BEMA";"both_random";"germination.rate";0,43123109813607;NA
"BEMA";"both_random";"germination.rate";0,255330572286973;NA
"BEMA";"both_random";"germination.rate";0,369543195776649;NA
"BEMA";"both_random";"germination.rate";0,301993573662559;NA
"BEMA";"both_random";"germination.rate";0,415409719969786;NA
"BEMA";"both_random";"germination.rate";0,371928046605323;NA
"BEMA";"both_random";"germination.rate";0,321854981312791;NA
"BEMA";"both_random";"seed.survival";0,34643687174201;NA
"BEMA";"both_random";"seed.survival";0,477542370570321;NA
"BEMA";"both_random";"seed.survival";0,565129533569624;NA
"BEMA";"both_random";"seed.survival";0,408107641676566;NA
"BEMA";"both_random";"seed.survival";0,41242796564351;NA
"BEMA";"both_random";"seed.survival";0,342645598594847;NA
"BEMA";"both_random";"seed.survival";0,322952830565144;NA
"BEMA";"both_random";"seed.survival";0,332623229289008;NA
"BEMA";"both_random";"seed.survival";0,571658072118509;NA
"BEMA";"both_random";"seed.survival";0,381341592660466;NA
"BEMA";"both_random";"seed.survival";0,570625893368222;NA
"BEMA";"both_random";"seed.survival";0,505854020086213;NA
"BEMA";"both_random";"seed.survival";0,532509344520212;NA
"BEMA";"both_random";"seed.survival";0,494075675146603;NA
"BEMA";"both_random";"seed.survival";0,485948050763407;NA
"BEMA";"both_random";"seed.survival";0,311463740493946;NA
"BEMA";"both_random";"seed.survival";0,486979555213497;NA
"BEMA";"both_random";"seed.survival";0,563380058474856;NA
"BEMA";"both_random";"seed.survival";0,316005105767726;NA
"BEMA";"both_random";"seed.survival";0,341167768295757;NA
"BEMA";"both_random";"seed.survival";0,289252596110767;NA
"BEMA";"both_random";"seed.survival";0,572241010534873;NA
"BEMA";"both_random";"seed.survival";0,547728229918411;NA
"BEMA";"both_random";"seed.survival";0,518199852155893;NA
"BEMA";"both_random";"seed.survival";0,308068233336955;NA
"BEMA";"both_random";"seed.survival";0,434848829511468;NA
"BEMA";"both_random";"seed.survival";0,47694146911108;NA
"BEMA";"both_random";"seed.survival";0,310654676375395;NA
"BEMA";"both_random";"seed.survival";0,475260290241778;NA
"BEMA";"both_random";"seed.survival";0,339399444901802;NA
"BEMA";"both_random";"seed.survival";0,323077279284489;NA
"BEMA";"both_random";"seed.survival";0,5556378419835;NA
"BEMA";"both_random";"seed.survival";0,413301533973134;NA
"BEMA";"both_random";"seed.survival";0,41605031743206;NA
"BEMA";"both_random";"seed.survival";0,552800147017669;NA
"BEMA";"both_random";"seed.survival";0,333067765974389;NA
"BEMA";"both_random";"seed.survival";0,424145446180969;NA
"BEMA";"both_random";"seed.survival";0,359176677041264;NA
"BEMA";"both_random";"seed.survival";0,474005354559256;NA
"BEMA";"both_random";"seed.survival";0,553871004940886;NA
"BEMA";"both_random";"seed.survival";0,302177032904141;NA
"BEMA";"both_random";"seed.survival";0,381899722851146;NA
"BEMA";"both_random";"seed.survival";0,572379317745262;NA
"BEMA";"both_random";"seed.survival";0,350695516990897;NA
"BEMA";"both_random";"seed.survival";0,56780708926582;NA
"BEMA";"both_random";"seed.survival";0,39520354799328;NA
"BEMA";"both_random";"seed.survival";0,500694156735821;NA
"BEMA";"both_random";"seed.survival";0,511508284231969;NA
"BEMA";"both_random";"seed.survival";0,448326971013297;NA
"BEMA";"both_random";"seed.survival";0,299896960755226;NA
"BEMA";"both_random";"seed.survival";0,407128051880497;NA
"BEMA";"both_random";"seed.survival";0,290676831034449;NA
"BEMA";"both_random";"seed.survival";0,308359908771889;NA
"BEMA";"both_random";"seed.survival";0,534876618212546;NA
"BEMA";"both_random";"seed.survival";0,485460890218963;NA
"BEMA";"both_random";"seed.survival";0,538249219345844;NA
"BEMA";"both_random";"seed.survival";0,369619975931087;NA
"BEMA";"both_random";"seed.survival";0,39727641734319;NA
"BEMA";"both_random";"seed.survival";0,508858501870518;NA
"BEMA";"both_random";"seed.survival";0,378993571061432;NA
"BEMA";"both_random";"seed.survival";0,327025937148676;NA
"BEMA";"both_random";"seed.survival";0,406946963409941;NA
"BEMA";"both_random";"seed.survival";0,460537853252108;NA
"BEMA";"both_random";"seed.survival";0,36635621802705;NA
"BEMA";"both_random";"seed.survival";0,541672928211044;NA
"BEMA";"both_random";"seed.survival";0,475262643398263;NA
"BEMA";"both_random";"seed.survival";0,333054587378843;NA
"BEMA";"both_random";"seed.survival";0,461028108796494;NA
"BEMA";"both_random";"seed.survival";0,496915905249375;NA
"BEMA";"both_random";"seed.survival";0,41944735123987;NA
"BEMA";"both_random";"seed.survival";0,508521135220021;NA
"BEMA";"both_random";"seed.survival";0,349153885490146;NA
"BEMA";"both_random";"seed.survival";0,432094180047144;NA
"BEMA";"both_random";"seed.survival";0,383552080266211;NA
"BEMA";"both_random";"seed.survival";0,435021592376229;NA
"BEMA";"both_random";"seed.survival";0,414743563081548;NA
"BEMA";"both_random";"seed.survival";0,309721362770127;NA
"BEMA";"both_random";"seed.survival";0,525395453449679;NA
"BEMA";"both_random";"seed.survival";0,384730398247336;NA
"BEMA";"both_random";"seed.survival";0,498634069847575;NA
"BEMA";"both_random";"seed.survival";0,475799487271228;NA
"BEMA";"both_random";"seed.survival";0,511799420719664;NA
"BEMA";"both_random";"seed.survival";0,353557582683282;NA
"BEMA";"both_random";"seed.survival";0,33171728968729;NA
"BEMA";"both_random";"seed.survival";0,552500013954515;NA
"BEMA";"both_random";"seed.survival";0,492094499566266;NA
"BEMA";"both_random";"seed.survival";0,420372126218298;NA
"BEMA";"both_random";"seed.survival";0,496575854453784;NA
"BEMA";"both_random";"seed.survival";0,344914639411003;NA
"BEMA";"both_random";"seed.survival";0,400547484573448;NA
"BEMA";"both_random";"seed.survival";0,547725336349251;NA
"BEMA";"both_random";"seed.survival";0,314595845663944;NA
"BEMA";"both_random";"seed.survival";0,347013628018555;NA
"BEMA";"both_random";"seed.survival";0,452196770391866;NA
"BEMA";"both_random";"seed.survival";0,511045688784124;NA
"BEMA";"both_random";"seed.survival";0,355092578691733;NA
"BEMA";"both_random";"seed.survival";0,403029313096821;NA
"BEMA";"both_random";"seed.survival";0,518873707061478;NA
"BEMA";"both_random";"seed.survival";0,423346689869666;NA
"BEMA";"both_random";"seed.survival";0,40408500915727;NA
"CETE";"both_random";"germination.rate";0,400477135302257;NA
"CETE";"both_random";"germination.rate";0,633056643647292;NA
"CETE";"both_random";"germination.rate";0,487832497840498;NA
"CETE";"both_random";"germination.rate";0,523376836011661;NA
"CETE";"both_random";"germination.rate";0,428300839761914;NA
"CETE";"both_random";"germination.rate";0,699086152164885;NA
"CETE";"both_random";"germination.rate";0,545212163582793;NA
"CETE";"both_random";"germination.rate";0,641533851346002;NA
"CETE";"both_random";"germination.rate";0,70344852135588;NA
"CETE";"both_random";"germination.rate";0,431636895590177;NA
"CETE";"both_random";"germination.rate";0,635414866784044;NA
"CETE";"both_random";"germination.rate";0,575950535794052;NA
"CETE";"both_random";"germination.rate";0,425245760326852;NA
"CETE";"both_random";"germination.rate";0,637802478971114;NA
"CETE";"both_random";"germination.rate";0,576107416565322;NA
"CETE";"both_random";"germination.rate";0,428670083831772;NA
"CETE";"both_random";"germination.rate";0,388876262012695;NA
"CETE";"both_random";"germination.rate";0,551516702151049;NA
"CETE";"both_random";"germination.rate";0,608121727767886;NA
"CETE";"both_random";"germination.rate";0,552163674979843;NA
"CETE";"both_random";"germination.rate";0,454549242273139;NA
"CETE";"both_random";"germination.rate";0,353299032055767;NA
"CETE";"both_random";"germination.rate";0,657599672731105;NA
"CETE";"both_random";"germination.rate";0,59517251012917;NA
"CETE";"both_random";"germination.rate";0,434098593670069;NA
"CETE";"both_random";"germination.rate";0,498081775617915;NA
"CETE";"both_random";"germination.rate";0,692060540760102;NA
"CETE";"both_random";"germination.rate";0,391919623834607;NA
"CETE";"both_random";"germination.rate";0,604284944727637;NA
"CETE";"both_random";"germination.rate";0,455993710451377;NA
"CETE";"both_random";"germination.rate";0,650628878043001;NA
"CETE";"both_random";"germination.rate";0,630830538479359;NA
"CETE";"both_random";"germination.rate";0,432976513654333;NA
"CETE";"both_random";"germination.rate";0,368238729933711;NA
"CETE";"both_random";"germination.rate";0,662629800074947;NA
"CETE";"both_random";"germination.rate";0,594717711199532;NA
"CETE";"both_random";"germination.rate";0,521097138767637;NA
"CETE";"both_random";"germination.rate";0,669440934387281;NA
"CETE";"both_random";"germination.rate";0,399678924137523;NA
"CETE";"both_random";"germination.rate";0,614650315747532;NA
"CETE";"both_random";"germination.rate";0,402428330131757;NA
"CETE";"both_random";"germination.rate";0,651855662290058;NA
"CETE";"both_random";"germination.rate";0,480607775660689;NA
"CETE";"both_random";"germination.rate";0,352935168176537;NA
"CETE";"both_random";"germination.rate";0,504565740600135;NA
"CETE";"both_random";"germination.rate";0,670103221032918;NA
"CETE";"both_random";"germination.rate";0,479402726395725;NA
"CETE";"both_random";"germination.rate";0,680199622628418;NA
"CETE";"both_random";"germination.rate";0,416944273792127;NA
"CETE";"both_random";"germination.rate";0,62131941266581;NA
"CETE";"both_random";"germination.rate";0,556967935617615;NA
"CETE";"both_random";"germination.rate";0,486938311569636;NA
"CETE";"both_random";"germination.rate";0,595158384116444;NA
"CETE";"both_random";"germination.rate";0,668897443817282;NA
"CETE";"both_random";"germination.rate";0,6806077481978;NA
"CETE";"both_random";"germination.rate";0,360197315093863;NA
"CETE";"both_random";"germination.rate";0,621485894244041;NA
"CETE";"both_random";"germination.rate";0,409946359886176;NA
"CETE";"both_random";"germination.rate";0,685019597808774;NA
"CETE";"both_random";"germination.rate";0,608689220828653;NA
"CETE";"both_random";"germination.rate";0,659046950981393;NA
"CETE";"both_random";"germination.rate";0,664813402666439;NA
"CETE";"both_random";"germination.rate";0,48771157411429;NA
"CETE";"both_random";"germination.rate";0,433219999985524;NA
"CETE";"both_random";"germination.rate";0,436182544909872;NA
"CETE";"both_random";"germination.rate";0,590192874142712;NA
"CETE";"both_random";"germination.rate";0,373923748054539;NA
"CETE";"both_random";"germination.rate";0,431886793791435;NA
"CETE";"both_random";"germination.rate";0,405743912024656;NA
"CETE";"both_random";"germination.rate";0,44414777039102;NA
"CETE";"both_random";"germination.rate";0,353702698518475;NA
"CETE";"both_random";"germination.rate";0,58690821853434;NA
"CETE";"both_random";"germination.rate";0,519938161171851;NA
"CETE";"both_random";"germination.rate";0,51822722750264;NA
"CETE";"both_random";"germination.rate";0,500354124243811;NA
"CETE";"both_random";"germination.rate";0,492150283796803;NA
"CETE";"both_random";"germination.rate";0,665087964693645;NA
"CETE";"both_random";"germination.rate";0,649523502765222;NA
"CETE";"both_random";"germination.rate";0,518836210222913;NA
"CETE";"both_random";"germination.rate";0,363906261114261;NA
"CETE";"both_random";"germination.rate";0,691964277072915;NA
"CETE";"both_random";"germination.rate";0,439626671203393;NA
"CETE";"both_random";"germination.rate";0,483602524613198;NA
"CETE";"both_random";"germination.rate";0,384510590965524;NA
"CETE";"both_random";"germination.rate";0,606809778886674;NA
"CETE";"both_random";"germination.rate";0,63332937590017;NA
"CETE";"both_random";"germination.rate";0,607651035965824;NA
"CETE";"both_random";"germination.rate";0,652944989861735;NA
"CETE";"both_random";"germination.rate";0,55737398543454;NA
"CETE";"both_random";"germination.rate";0,70455536742451;NA
"CETE";"both_random";"germination.rate";0,649803039953987;NA
"CETE";"both_random";"germination.rate";0,426266939993485;NA
"CETE";"both_random";"germination.rate";0,712541595547686;NA
"CETE";"both_random";"germination.rate";0,479742227681845;NA
"CETE";"both_random";"germination.rate";0,631462859084691;NA
"CETE";"both_random";"germination.rate";0,451155854003664;NA
"CETE";"both_random";"germination.rate";0,693914076591907;NA
"CETE";"both_random";"germination.rate";0,614164536053256;NA
"CETE";"both_random";"germination.rate";0,518885579444941;NA
"CETE";"both_random";"germination.rate";0,462793215540882;NA
"CETE";"both_random";"seed.survival";0,152390675922127;NA
"CETE";"both_random";"seed.survival";0,215011759580432;NA
"CETE";"both_random";"seed.survival";0,106963346207461;NA
"CETE";"both_random";"seed.survival";0,142835266664171;NA
"CETE";"both_random";"seed.survival";0,0219053223866293;NA
"CETE";"both_random";"seed.survival";0,214732050692598;NA
"CETE";"both_random";"seed.survival";0,216273280197725;NA
"CETE";"both_random";"seed.survival";0,170225630004083;NA
"CETE";"both_random";"seed.survival";0,01;NA
"CETE";"both_random";"seed.survival";0,080685539560317;NA
"CETE";"both_random";"seed.survival";0,126666020248621;NA
"CETE";"both_random";"seed.survival";0,0421917585521695;NA
"CETE";"both_random";"seed.survival";0,171082008574541;NA
"CETE";"both_random";"seed.survival";0,242154170154714;NA
"CETE";"both_random";"seed.survival";0,234482464894701;NA
"CETE";"both_random";"seed.survival";0,01;NA
"CETE";"both_random";"seed.survival";0,205990779490661;NA
"CETE";"both_random";"seed.survival";0,197142963195504;NA
"CETE";"both_random";"seed.survival";0,211944385697411;NA
"CETE";"both_random";"seed.survival";0,14135004051155;NA
"CETE";"both_random";"seed.survival";0,0272862314401649;NA
"CETE";"both_random";"seed.survival";0,0910149953545177;NA
"CETE";"both_random";"seed.survival";0,133278544775602;NA
"CETE";"both_random";"seed.survival";0,0908680069037626;NA
"CETE";"both_random";"seed.survival";0,150928662202456;NA
"CETE";"both_random";"seed.survival";0,204500484662817;NA
"CETE";"both_random";"seed.survival";0,0819311951722065;NA
"CETE";"both_random";"seed.survival";0,01;NA
"CETE";"both_random";"seed.survival";0,0571263293983443;NA
"CETE";"both_random";"seed.survival";0,106626580918438;NA
"CETE";"both_random";"seed.survival";0,0672373561578486;NA
"CETE";"both_random";"seed.survival";0,0911146656897762;NA
"CETE";"both_random";"seed.survival";0,236522126541855;NA
"CETE";"both_random";"seed.survival";0,0715990075396449;NA
"CETE";"both_random";"seed.survival";0,238645121115723;NA
"CETE";"both_random";"seed.survival";0,01;NA
"CETE";"both_random";"seed.survival";0,0671638901421059;NA
"CETE";"both_random";"seed.survival";0,17091693858046;NA
"CETE";"both_random";"seed.survival";0,166323825445873;NA
"CETE";"both_random";"seed.survival";0,223857907543794;NA
"CETE";"both_random";"seed.survival";0,0242402373962935;NA
"CETE";"both_random";"seed.survival";0,144448615116691;NA
"CETE";"both_random";"seed.survival";0,0330762121060386;NA
"CETE";"both_random";"seed.survival";0,01;NA
"CETE";"both_random";"seed.survival";0,0034004164535298;NA
"CETE";"both_random";"seed.survival";0,240735668015015;NA
"CETE";"both_random";"seed.survival";0,01;NA
"CETE";"both_random";"seed.survival";0,0405586994582356;NA
"CETE";"both_random";"seed.survival";0,0914981283491075;NA
"CETE";"both_random";"seed.survival";0,01;NA
"CETE";"both_random";"seed.survival";0,144210231445556;NA
"CETE";"both_random";"seed.survival";0,0542945583226167;NA
"CETE";"both_random";"seed.survival";0,237409609648571;NA
"CETE";"both_random";"seed.survival";0,163152726700402;NA
"CETE";"both_random";"seed.survival";0,220944810588599;NA
"CETE";"both_random";"seed.survival";0,0755990050742191;NA
"CETE";"both_random";"seed.survival";0,01;NA
"CETE";"both_random";"seed.survival";0,00385958930997067;NA
"CETE";"both_random";"seed.survival";0,0988929731283875;NA
"CETE";"both_random";"seed.survival";0,227499676087314;NA
"CETE";"both_random";"seed.survival";0,146612678456031;NA
"CETE";"both_random";"seed.survival";0,140108851280861;NA
"CETE";"both_random";"seed.survival";0,195471825823838;NA
"CETE";"both_random";"seed.survival";0,0363819815835106;NA
"CETE";"both_random";"seed.survival";0,0625391981364084;NA
"CETE";"both_random";"seed.survival";0,127704573843506;NA
"CETE";"both_random";"seed.survival";0,241394681255505;NA
"CETE";"both_random";"seed.survival";0,229674858152662;NA
"CETE";"both_random";"seed.survival";0,192842470568578;NA
"CETE";"both_random";"seed.survival";0,0977748689626275;NA
"CETE";"both_random";"seed.survival";0,0573763780032936;NA
"CETE";"both_random";"seed.survival";0,0104765474456833;NA
"CETE";"both_random";"seed.survival";0,0379394208044551;NA
"CETE";"both_random";"seed.survival";0,00387535926189361;NA
"CETE";"both_random";"seed.survival";0,116768555279372;NA
"CETE";"both_random";"seed.survival";0,0481464584401358;NA
"CETE";"both_random";"seed.survival";0,224387449817379;NA
"CETE";"both_random";"seed.survival";0,0451973503373134;NA
"CETE";"both_random";"seed.survival";0,127957646174939;NA
"CETE";"both_random";"seed.survival";0,0365546636494824;NA
"CETE";"both_random";"seed.survival";0,01;NA
"CETE";"both_random";"seed.survival";0,0673589742551534;NA
"CETE";"both_random";"seed.survival";0,199387488206985;NA
"CETE";"both_random";"seed.survival";0,156188525144838;NA
"CETE";"both_random";"seed.survival";0,114092060025648;NA
"CETE";"both_random";"seed.survival";0,097275358726289;NA
"CETE";"both_random";"seed.survival";0,21843625565098;NA
"CETE";"both_random";"seed.survival";0,0490745858022817;NA
"CETE";"both_random";"seed.survival";0,131713281993769;NA
"CETE";"both_random";"seed.survival";0,0250710141410907;NA
"CETE";"both_random";"seed.survival";0,0444400545290575;NA
"CETE";"both_random";"seed.survival";0,128664768399863;NA
"CETE";"both_random";"seed.survival";0,0245999017814966;NA
"CETE";"both_random";"seed.survival";0,0383490456853347;NA
"CETE";"both_random";"seed.survival";0,141067012745185;NA
"CETE";"both_random";"seed.survival";0,0515475704219391;NA
"CETE";"both_random";"seed.survival";0,101200296051043;NA
"CETE";"both_random";"seed.survival";0,168156935014029;NA
"CETE";"both_random";"seed.survival";0,0774843177873726;NA
"CETE";"both_random";"seed.survival";0,169814450229444;NA
"CHFU";"both_random";"germination.rate";0,624340335969472;NA
"CHFU";"both_random";"germination.rate";0,950559871197188;NA
"CHFU";"both_random";"germination.rate";0,979717772390574;NA
"CHFU";"both_random";"germination.rate";0,812517967026791;NA
"CHFU";"both_random";"germination.rate";0,955561891537672;NA
"CHFU";"both_random";"germination.rate";0,653441166880283;NA
"CHFU";"both_random";"germination.rate";0,894740908110776;NA
"CHFU";"both_random";"germination.rate";0,86594666991735;NA
"CHFU";"both_random";"germination.rate";0,840043335389034;NA
"CHFU";"both_random";"germination.rate";0,693149683432503;NA
"CHFU";"both_random";"germination.rate";0,788610314684556;NA
"CHFU";"both_random";"germination.rate";0,670872533439948;NA
